
DevTools listening on ws://127.0.0.1:9337/devtools/browser/39f62930-b45d-4c88-8fad-d076237dce37
[32680:0412/215455.584:INFO:CONSOLE(7)] "[MemoryService] Base URL updated to: http://127.0.0.1:8010", source: file:///E:/Work/Code/Lumina/dist/assets/index-CehJJ3AN.js (7)
[32680:0412/215455.588:INFO:CONSOLE(7)] "[useSettings] Loaded", source: file:///E:/Work/Code/Lumina/dist/assets/index-CehJJ3AN.js (7)
[32680:0412/215455.594:INFO:CONSOLE(9)] "🔌 [App] Syncing runtime ports: [object Object]", source: file:///E:/Work/Code/Lumina/dist/assets/index-CehJJ3AN.js (9)
[32680:0412/215455.598:INFO:CONSOLE(2)] "[Config] API Configuration Updated: [object Object]", source: file:///E:/Work/Code/Lumina/dist/assets/index-CehJJ3AN.js (2)
[32680:0412/215455.599:INFO:CONSOLE(9)] "🔌 [App] Syncing runtime ports: [object Object]", source: file:///E:/Work/Code/Lumina/dist/assets/index-CehJJ3AN.js (9)
[32680:0412/215455.599:INFO:CONSOLE(2)] "[Config] API Configuration Updated: [object Object]", source: file:///E:/Work/Code/Lumina/dist/assets/index-CehJJ3AN.js (2)
[32680:0412/215456.091:INFO:CONSOLE(26)] "
 %c %c %c PixiJS 6.5.10 - ✰ WebGL 2 ✰  %c  %c  http://www.pixijs.com/  %c %c ♥%c♥%c♥ 

 background: #ff66a5; padding:5px 0; background: #ff66a5; padding:5px 0; color: #ff66a5; background: #030307; padding:5px 0; background: #ff66a5; padding:5px 0; background: #ffc3dc; padding:5px 0; background: #ff66a5; padding:5px 0; color: #ff2424; background: #fff; padding:5px 0; color: #ff2424; background: #fff; padding:5px 0; color: #ff2424; background: #fff; padding:5px 0;", source: file:///E:/Work/Code/Lumina/dist/assets/live2d-vendor-CswbC77Q.js (26)
[32680:0412/215456.095:INFO:CONSOLE(2)] "[Live2DPlugin] Loading model from: file:///E:/Work/Code/Lumina/dist/live2d/Hiyori/Hiyori.model3.json", source: file:///E:/Work/Code/Lumina/dist/assets/Live2DPlugin-C31TdICs.js (2)
[32680:0412/215456.102:INFO:CONSOLE(587)] "[CSM][I]Live2D Cubism Core version: 05.00.0000 (83886080)
", source: file:///E:/Work/Code/Lumina/dist/assets/live2d-vendor-CswbC77Q.js (587)
[32680:0412/215456.103:INFO:CONSOLE(587)] "[CSM][I]CubismFramework.startUp() is complete.
", source: file:///E:/Work/Code/Lumina/dist/assets/live2d-vendor-CswbC77Q.js (587)
[32680:0412/215456.103:INFO:CONSOLE(587)] "[CSM][I]CubismFramework.initialize() is complete.
", source: file:///E:/Work/Code/Lumina/dist/assets/live2d-vendor-CswbC77Q.js (587)
[32680:0412/215456.125:INFO:CONSOLE(9)] "Live2D Cubism SDK Core Version 5.0.0", source: file:///E:/Work/Code/Lumina/dist/libs/live2dcubismcore.min.js (9)
[32680:0412/215500.318:INFO:CONSOLE(9)] "🔌 [App] Syncing runtime ports: [object Object]", source: file:///E:/Work/Code/Lumina/dist/assets/index-CehJJ3AN.js (9)
[32680:0412/215500.319:INFO:CONSOLE(2)] "[Config] API Configuration Updated: [object Object]", source: file:///E:/Work/Code/Lumina/dist/assets/index-CehJJ3AN.js (2)
