import time: self [us] | cumulative | imported package
import time:       177 |        177 | winreg
import time:       408 |        408 |   _io
import time:        55 |         55 |   marshal
import time:       233 |        233 |   nt
import time:       436 |       1130 | _frozen_importlib_external
import time:      1340 |       1340 |   time
import time:       189 |       1528 | zipimport
import time:        75 |         75 |     _codecs
import time:       466 |        540 |   codecs
import time:      1819 |       1819 |   encodings.aliases
import time:      2693 |       5051 | encodings
import time:       878 |        878 | encodings.utf_8
import time:       132 |        132 |   _codecs_cn
import time:        87 |         87 |   _multibytecodec
import time:      1375 |       1592 | encodings.gbk
import time:        93 |         93 | _signal
import time:        52 |         52 |     _abc
import time:       181 |        233 |   abc
import time:       254 |        486 | io
import time:        95 |         95 |       _stat
import time:       104 |        199 |     stat
import time:      1035 |       1035 |     _collections_abc
import time:        59 |         59 |       genericpath
import time:       146 |        146 |       _winapi
import time:       122 |        327 |     ntpath
import time:       342 |       1901 |   os
import time:       103 |        103 |   _sitebuiltins
import time:      1249 |       1249 |   encodings.utf_8_sig
import time:      3029 |       3029 |   _distutils_hack
import time:      1038 |       1038 |     pywin32_system32
import time:      2552 |       3590 |   pywin32_bootstrap
import time:       376 |        376 |   sitecustomize
import time:       313 |        313 |   usercustomize
import time:      4690 |      15249 | site
import time:      1102 |       1102 |       __future__
import time:       256 |        256 |             itertools
import time:      1068 |       1068 |             keyword
import time:       127 |        127 |               _operator
import time:      1185 |       1311 |             operator
import time:      1135 |       1135 |             reprlib
import time:       179 |        179 |             _collections
import time:      2477 |       6424 |           collections
import time:      1506 |       1506 |           collections.abc
import time:      1112 |       1112 |             concurrent
import time:      1819 |       1819 |                     types
import time:       135 |        135 |                       _functools
import time:      1760 |       1895 |                     functools
import time:      2815 |       6529 |                   enum
import time:       136 |        136 |                     _sre
import time:      1428 |       1428 |                       re._constants
import time:      1666 |       3093 |                     re._parser
import time:      1147 |       1147 |                     re._casefix
import time:      1817 |       6193 |                   re._compiler
import time:      1045 |       1045 |                   copyreg
import time:      1806 |      15572 |                 re
import time:       949 |        949 |                       token
import time:        79 |         79 |                       _tokenize
import time:      1990 |       3017 |                     tokenize
import time:      1154 |       4171 |                   linecache
import time:      3320 |       3320 |                   textwrap
import time:      1651 |       1651 |                   contextlib
import time:      1849 |      10989 |                 traceback
import time:      1553 |       1553 |                 warnings
import time:      1421 |       1421 |                   _weakrefset
import time:      2031 |       3452 |                 weakref
import time:        75 |         75 |                   _string
